iter	Passed	Remaining
0	139	209701
1	291	217965
2	405	202573
3	518	193901
4	630	188531
5	782	194835
6	939	200412
7	1074	200462
8	1198	198512
9	1330	198171
10	1463	198091
11	1591	197285
12	1724	197211
13	1858	197314
14	2003	198308
15	2134	197983
16	2244	195801
17	2350	193531
18	2464	192104
19	2724	201641
20	2893	203778
21	3084	207198
22	3198	205409
23	3319	204119
24	3452	203700
25	3593	203747
26	3723	203141
27	3849	202364
28	3983	202076
29	4135	202624
30	4274	202564
31	4406	202167
32	4523	201082
33	4644	200247
34	4756	199072
35	4928	200414
36	5087	201145
37	5247	201898
38	5396	202146
39	5554	202736
40	5685	202325
41	5797	201265
42	5937	201181
43	6049	200199
44	6157	199081
45	6246	197438
46	6343	196122
47	6473	195828
48	6604	195573
49	6716	194775
50	6851	194672
51	6983	194471
52	7088	193527
53	7229	193594
54	7348	193075
55	7479	192875
56	7530	190646
57	7646	190108
58	7779	189995
59	7899	189581
60	8030	189434
61	8171	189516
62	8237	187882
63	8342	187187
64	8480	187227
65	8557	185936
66	8589	183713
67	8715	183535
68	8837	183275
69	8970	183246
70	9089	182944
71	9216	182785
72	9350	182789
73	9477	182627
74	9586	182143
75	9678	181337
76	9712	179496
77	9856	179688
78	9967	179286
79	10154	180245
80	10290	180280
81	10483	181295
82	10633	181535
83	10771	181572
84	10913	181684
85	11054	181757
86	11144	181006
87	11269	180829
88	11375	180344
89	11510	180336
90	11661	180561
91	11769	180126
92	11798	178494
93	11927	178403
94	12054	178281
95	12144	177614
96	12182	176202
97	12313	176161
98	12422	175792
99	12553	175755
100	12684	175697
101	12743	174657
102	12862	174450
103	12979	174226
104	13103	174086
105	13213	173766
106	13332	173578
107	13442	173264
108	13555	172988
109	13683	172908
110	13820	172939
111	13928	172617
112	14060	172577
113	14150	172034
114	14220	171259
115	14343	171134
116	14458	170904
117	14512	169964
118	14639	169889
119	14676	168778
120	14778	168425
121	14914	168462
122	15037	168347
123	15135	167958
124	15261	167881
125	15374	167654
126	15447	167003
127	15572	166916
128	15705	166916
129	15757	166060
130	15871	165866
131	15988	165703
132	16123	165725
133	16267	165832
134	16386	165685
135	16473	165215
136	16591	165068
137	16704	164868
138	16820	164691
139	16958	164737
140	17088	164707
141	17215	164639
142	17303	164202
143	17439	164224
144	17545	163962
145	17664	163817
146	17795	163789
147	17923	163735
148	18077	163911
149	18170	163534
150	18248	163032
151	18366	162884
152	18483	162729
153	18608	162646
154	18696	162241
155	18815	162101
156	18915	161805
157	19025	161595
158	19138	161414
159	19236	161108
160	19324	160717
161	19428	160464
162	19521	160125
163	19657	160134
164	19792	160136
165	19896	159887
166	19997	159619
167	20027	158786
168	20146	158665
169	20267	158566
170	20383	158422
171	20430	157739
172	20567	157762
173	20660	157447
174	20791	157417
175	20910	157302
176	21004	156999
177	21106	156757
178	21200	156456
179	21304	156234
180	21417	156073
181	21541	156001
182	21664	155915
183	21739	155481
184	21861	155391
185	21995	155387
186	22110	155248
187	22237	155189
188	22327	154874
189	22444	154752
190	22565	154652
191	22670	154444
192	22776	154244
193	22968	154624
194	23091	154536
195	23169	154147
196	23270	153919
197	23412	153956
198	23682	154829
199	23794	154663
200	23949	154780
201	24100	154865
202	24211	154694
203	24329	154561
204	24462	154530
205	24586	154442
206	24684	154191
